"","x"
"11714",4
"211642",7
"396884",32
"413158",5
"571514",35
"684625",1
"807350",1
"812996",4
"826643",6
"826644",7
"995280",10
"1002840",4
"1025799",13
"1272289",1
"1296082",8
"1590917",4
"1610729",5
"1610859",2
"1727776",12
"1950190",2
"2005063",2
"2178554",9
"2344934",2
"2422420",39
"2836082",2
"2855293",7
"2976144",4
"2977598",5
"3049870",1
"3222075",4
"3280010",18
"3374272",2
"3470864",14
"3534013",1
"3592909",4
"3648481",4
"3648492",3
"3663996",25
"3700353",4
"3701569",1
"3714084",3
"3756638",12
"3780738",7
"3832801",5
"3832893",55
"3832933",8
"3838644",9
"3895313",10
"3923841",2
"3940750",5
"3955697",19
"4005390",9
"4005458",14
"4116757",1
"4127937",2
"4156108",3
"4184106",9
"4194586",3
"4222382",9
"4253030",1
"4253590",6
"4262473",6
"4262952",2
"4302804",2
"4314251",1
"4356661",14
"4431371",5
"4462418",9
"4549792",31
"4586130",1
"4618745",4
"4631715",2
"4637475",4
"4650815",1
"4708676",15
"4742744",2
"4815907",7
"4815918",1
"4816010",1
"4907918",1
"4965908",1
"4987069",10
"5538697",2
"6027688",9
"6126588",1
"6311248",2
"6362890",3
"6462058",9
"6617600",1
"6818664",1
"6863946",1
"6882080",15
"7091836",7
"7198743",13
"7213308",2
"7232518",5
"7283367",8
"7286067",1
"7633823",6
"7755664",2
"7831897",4
"7875978",11
"7900561",5
"7907370",1
"8145866",1
"8249223",13
"8262353",7
"8318033",12
"8423316",4
"8555425",2
"8568161",5
"8576493",5
"8615821",5
"8616336",4
"8686475",9
"8701411",4
"8748078",30
"8766627",7
"8805705",1
"8945601",6
"9069195",1
"9277065",3
"9312081",1
"9422204",1
"9469527",3
"9484176",4
"9598001",10
"9600937",2
"9612553",2
"9656936",4
"9656973",11
"9675393",3
"9681608",3
"9763120",1
"9768665",9
"9775648",2
"10281590",6
"10371445",7
"10698113",5
